Occupation ,Latitude,Longitude
"artist,",40.7081211,-73.9576664
"engraver,",40.7101046,-73.9646282
"auctioneer,",40.7050937,-74.0080914
"auctioneer,",40.7060217,-74.008996
"auctioneer,",40.7060217,-74.008996
"auctioneers,",40.7060217,-74.008996
"painter,",40.7278979,-73.9963611
"painter,",40.7166682,-73.9883901
"painter,",40.7127753,-74.0059728
"painter,",40.7091921,-73.7577202
"painter,",40.7336661,-73.9839743
"engraver,",40.7122414,-74.0081256
"painter,",40.7366655,-73.9821185
"painter,",40.6723253,-73.8230209
"portrait painter,",40.7295392,-74.0046474
"gilder,",40.7246763,-73.9939162
"engraver,",40.7080386,-74.0035916
"painter,",40.7154484,-73.996501
"auctioneer,",40.7127753,-74.0059728
"painter,",40.7744146,-73.9656177
"engraver k. printer,",40.7127753,-74.0059728
"engravers and printers,",40.7127753,-74.0059728
"painter,",40.7140374,-73.9921688
"auctioneer,",40.7051541,-74.0106045
"painter,",40.7196907,-73.989708
"painter,",40.6296925,-74.0742032
"painter,",40.7150826,-73.9907044
"portraitpainter,",40.6246666,-74.1138335
"auctioneer,",40.7060217,-74.008996
"painter,",40.7190507,-73.9872958
"painter,",40.7165612,-73.9880352
"painter,",40.8725962,-73.8395816
"painter,",40.718694,-73.9758203
"painter,",40.7214698,-73.9866349
"painter,",40.7127753,-74.0059728
"painter,",40.7142806,-73.9941285
"painter,",40.7142806,-73.9941285
"painter,",40.7166653,-73.9814793
"(col'd) painter,",40.7224233,-73.9950089
printingink manf..,40.7224787,-73.9972368
printingink maker.,40.7226266,-73.9973908
"painter,",40.720855,-73.9876562
"E.,",40.7127753,-74.0059728
"drawing,",40.7207889,-73.9992785
"painter,",40.7125331,-74.0009298
ehajrgilder.,40.7112898,-74.0119537
"painter,",#VALUE!,#VALUE!
"painter,",42.312852,-76.7846764
"painters,",40.712821,-73.9972834
"engraver,",40.7127753,-74.0059728
"note engravers,",40.7127753,-74.0059728
"artist,",40.7851704,-73.7998435
"painter,",40.7547979,-73.9783362
"painter,",42.2528649,-73.790959
"signpainters,",40.7075593,-74.0103757
"engraver,",40.7127753,-74.0059728
"painter,",40.7244442,-73.9922328
"painter,",40.7127753,-74.0059728
"painter,",40.7150337,-73.9794082
"auctioneer,",40.7081211,-73.9576664
artist.,40.7144257,-74.0062606
"carver,",40.7127753,-74.0059728
"painter,",40.7162568,-73.9931104
"painter,",40.7187623,-73.9978116
"engraver,",40.7095719,-74.0084476
"carver and gilder,",40.6268266,-74.0741734
"engraver,",40.7264846,-74.0080725
"painter,",40.7558231,-73.8632222
"painter,",40.772819,-74.0419093
"painter,",40.714306,-74.001591
"portrait painter,",40.7174584,-74.0038831
"artist,",40.715109,-73.9922146
"painter,",40.720405,-73.997317
"painters,",40.720405,-73.997317
engraver.,40.709154,-74.006106
"painter,",40.7164407,-73.983436
"painter,",40.7174339,-74.000081
"painter,",40.7127753,-74.0059728
"painter,",42.2528649,-73.790959
